message_body,content_offset_seconds,message_user_color,commenter_display_name,message_fragments
Pog hes back,19.312,,dxiyo,"[{""text"": ""Pog hes back""}]"
SAVED,19.359,,gustaveriner,"[{""text"": ""SAVED""}]"
AD LULW,19.467,,DMaximilian,"[{""text"": ""AD LULW""}]"
no :),19.51,#F700B6,beepyy_,"[{""text"": ""no ""}, {""text"": "":)"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1""}}]"
HI,19.517,#1E90FF,NEPPO,"[{""text"": ""HI""}]"
finally live Pog,19.56,#FF0000,fivesixgiant,"[{""text"": ""finally live Pog""}]"
PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou,19.562,#FF0000,GGGodar,"[{""text"": ""PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou PogYou""}]"
UNLEASHED ON 3,19.904,#1E90FF,Xeinu,"[{""text"": ""UNLEASHED ON 3""}]"
30secs,19.936,#FF69B4,Showiz,"[{""text"": ""30secs""}]"
Pog,19.975,#8A2BE2,Renzo4,"[{""text"": ""Pog""}]"
KEKW,20.009,,MysticalSoul,"[{""text"": ""KEKW""}]"
4k gone,20.291,#FF69B4,CapitalDeColon,"[{""text"": ""4k gone""}]"
invisible,20.445,#008000,gilsupremacy,"[{""text"": ""invisible""}]"
PogU,20.448,#0000FF,llosers,"[{""text"": ""PogU""}]"
NO,20.587,#FF7F50,MidgetSheep,"[{""text"": ""NO""}]"
SAVED,20.749,,ek_ghanta,"[{""text"": ""SAVED""}]"
DELIVEROO,20.857,,mist_central,"[{""text"": ""DELIVEROO""}]"
PowerUpL Wowee PowerUpR PowerUpL OhMyDog PowerUpR PowerUpL FrankerZ PowerUpR PowerUpL RalpherZ PowerUpR,20.894,#FF0000,Dollt28,"[{""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" Wowee ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""OhMyDog"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""81103""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""FrankerZ"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""65""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}, {""text"": "" ""}, {""text"": ""PowerUpL"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425688""}}, {""text"": "" ""}, {""text"": ""RalpherZ"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""1900""}}, {""text"": "" ""}, {""text"": ""PowerUpR"", ""emoticon"": {""emoticon_set_id"": """", ""emoticon_id"": ""425671""}}]"
